request_id,config_hash,invocation_count,generated_tokens_before_sample,forced_token_id,requested_forced_token_id,mask_count,masked_token_ids,entropy_before,entropy_after,entropy_target,entropy_error
paired-en-source-101-full_supported,d4b51142c3006b217839ad6722d464badf44ac1159e8daf920e74b657e3aa2ef,10,9,,,2,"[76482, 92040]",0.007197229191660881,0.13907338678836823,4.0,3.992802770808339
paired-en-source-101-full_supported,d4b51142c3006b217839ad6722d464badf44ac1159e8daf920e74b657e3aa2ef,11,10,,,2,"[76482, 92040]",2.3834783036136287e-09,9.577718446962535e-05,6.0,5.999999997616522
paired-en-source-101-full_supported,d4b51142c3006b217839ad6722d464badf44ac1159e8daf920e74b657e3aa2ef,12,11,,,2,"[76482, 92040]",4.0999310613187845e-08,0.010707673616707325,6.0,5.999999959000689
paired-en-source-101-full_minus_structural,f10facff490a1d0f6f9be7adccd9e7164cb0dee82d17d0f57ab4923e5d24bec6,1,0,,,2,"[76482, 92040]",5.753757363891054e-07,0.0009305588901042938,2.5,2.4999994246242636
paired-en-source-101-full_minus_structural,f10facff490a1d0f6f9be7adccd9e7164cb0dee82d17d0f57ab4923e5d24bec6,2,1,,,2,"[76482, 92040]",0.01053102221339941,0.13520726561546326,2.5,2.4894689777866006
paired-en-source-101-full_minus_structural,f10facff490a1d0f6f9be7adccd9e7164cb0dee82d17d0f57ab4923e5d24bec6,3,2,,,2,"[76482, 92040]",0.5029865503311157,0.6451312899589539,2.5,1.9970134496688843
paired-en-source-101-full_minus_structural,f10facff490a1d0f6f9be7adccd9e7164cb0dee82d17d0f57ab4923e5d24bec6,4,3,,,2,"[76482, 92040]",0.3296743929386139,0.6648149490356445,2.5,2.170325607061386
paired-en-source-101-full_minus_structural,f10facff490a1d0f6f9be7adccd9e7164cb0dee82d17d0f57ab4923e5d24bec6,5,4,,,2,"[76482, 92040]",0.814186155796051,1.3202619552612305,2.5,1.685813844203949
paired-en-source-101-full_minus_structural,f10facff490a1d0f6f9be7adccd9e7164cb0dee82d17d0f57ab4923e5d24bec6,6,5,,,2,"[76482, 92040]",9.645345016906504e-06,0.003998376429080963,4.0,3.999990354654983
paired-en-source-101-full_minus_structural,f10facff490a1d0f6f9be7adccd9e7164cb0dee82d17d0f57ab4923e5d24bec6,7,6,,,2,"[76482, 92040]",0.06207389011979103,0.2832784652709961,4.0,3.937926109880209
paired-en-source-101-full_minus_structural,f10facff490a1d0f6f9be7adccd9e7164cb0dee82d17d0f57ab4923e5d24bec6,8,7,,,2,"[76482, 92040]",0.5246463418006897,0.9436717629432678,4.0,3.4753536581993103
paired-en-source-101-full_minus_structural,f10facff490a1d0f6f9be7adccd9e7164cb0dee82d17d0f57ab4923e5d24bec6,9,8,,,2,"[76482, 92040]",0.09216960519552231,0.3752257823944092,4.0,3.9078303948044777
paired-en-source-101-full_minus_structural,f10facff490a1d0f6f9be7adccd9e7164cb0dee82d17d0f57ab4923e5d24bec6,10,9,,,2,"[76482, 92040]",0.007197229191660881,0.13907338678836823,4.0,3.992802770808339
paired-en-source-101-full_minus_structural,f10facff490a1d0f6f9be7adccd9e7164cb0dee82d17d0f57ab4923e5d24bec6,11,10,,,2,"[76482, 92040]",2.3834783036136287e-09,9.577718446962535e-05,6.0,5.999999997616522
paired-en-source-101-full_minus_structural,f10facff490a1d0f6f9be7adccd9e7164cb0dee82d17d0f57ab4923e5d24bec6,12,11,,,2,"[76482, 92040]",4.0999310613187845e-08,0.010707673616707325,6.0,5.999999959000689
paired-en-source-101-full_minus_logit,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,1,0,,,0,[],,,,
paired-en-source-101-full_minus_logit,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,2,1,,,0,[],,,,
paired-en-source-101-full_minus_logit,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,3,2,,,0,[],,,,
paired-en-source-101-full_minus_logit,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,4,3,,,0,[],,,,
paired-en-source-101-full_minus_logit,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,5,4,,,0,[],,,,
paired-en-source-101-full_minus_logit,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,6,5,,,0,[],,,,
paired-en-source-101-full_minus_logit,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,7,6,,,0,[],,,,
paired-en-source-101-full_minus_logit,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,8,7,,,0,[],,,,
paired-en-source-101-full_minus_logit,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,9,8,,,0,[],,,,
paired-en-source-101-full_minus_logit,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,10,9,,,0,[],,,,
paired-en-source-101-full_minus_logit,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,11,10,,,0,[],,,,
paired-en-source-101-full_minus_logit,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,12,11,,,0,[],,,,
paired-en-source-202-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,1,0,,,0,[],,,,
paired-en-source-202-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,2,1,,,0,[],,,,
paired-en-source-202-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,3,2,,,0,[],,,,
paired-en-source-202-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,4,3,,,0,[],,,,
paired-en-source-202-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,5,4,,,0,[],,,,
paired-en-source-202-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,6,5,,,0,[],,,,
paired-en-source-202-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,7,6,,,0,[],,,,
paired-en-source-202-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,8,7,,,0,[],,,,
paired-en-source-202-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,9,8,,,0,[],,,,
paired-en-source-202-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,10,9,,,0,[],,,,
paired-en-source-202-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,11,10,,,0,[],,,,
paired-en-source-202-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,12,11,,,0,[],,,,
paired-en-source-202-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,1,0,,,0,[],,,,
paired-en-source-202-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,2,1,,,0,[],,,,
paired-en-source-202-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,3,2,,,0,[],,,,
paired-en-source-202-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,4,3,,,0,[],,,,
paired-en-source-202-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,5,4,,,0,[],,,,
paired-en-source-202-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,6,5,,,0,[],,,,
paired-en-source-202-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,7,6,,,0,[],,,,
paired-en-source-202-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,8,7,,,0,[],,,,
paired-en-source-202-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,9,8,,,0,[],,,,
paired-en-source-202-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,10,9,,,0,[],,,,
paired-en-source-202-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,11,10,,,0,[],,,,
