request_id,scheduler_request_id,config_hash,invocation_count,generated_tokens_before_sample,forced_token_id,requested_forced_token_id,mask_count,masked_token_ids
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,50,49,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,51,50,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,52,51,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,53,52,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,54,53,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,55,54,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,56,55,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,57,56,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,58,57,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,59,58,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,60,59,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,61,60,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,62,61,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,63,62,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,64,63,9702,9702,151935,[]
RA-CANCEL-NONSTREAM,nram-scheduler-79beda5b588b400fbef846f0cc6018bc,fa85f1647f341be21a1c90a5547a2d039b41e04fb6035708a1cbe6e5dab9a9be,1,0,9702,9702,151935,[]
RA-CANCEL-NONSTREAM,nram-scheduler-79beda5b588b400fbef846f0cc6018bc,fa85f1647f341be21a1c90a5547a2d039b41e04fb6035708a1cbe6e5dab9a9be,2,1,9702,9702,151935,[]
RA-CANCEL-NONSTREAM,nram-scheduler-79beda5b588b400fbef846f0cc6018bc,fa85f1647f341be21a1c90a5547a2d039b41e04fb6035708a1cbe6e5dab9a9be,3,2,9702,9702,151935,[]
RA-CANCEL-NONSTREAM,nram-scheduler-79beda5b588b400fbef846f0cc6018bc,fa85f1647f341be21a1c90a5547a2d039b41e04fb6035708a1cbe6e5dab9a9be,4,3,9702,9702,151935,[]
RA-CANCEL-NONSTREAM,nram-scheduler-79beda5b588b400fbef846f0cc6018bc,fa85f1647f341be21a1c90a5547a2d039b41e04fb6035708a1cbe6e5dab9a9be,5,4,9702,9702,151935,[]
RA-CANCEL-NONSTREAM,nram-scheduler-79beda5b588b400fbef846f0cc6018bc,fa85f1647f341be21a1c90a5547a2d039b41e04fb6035708a1cbe6e5dab9a9be,6,5,9702,9702,151935,[]
RA-CANCEL-NONSTREAM,nram-scheduler-79beda5b588b400fbef846f0cc6018bc,fa85f1647f341be21a1c90a5547a2d039b41e04fb6035708a1cbe6e5dab9a9be,7,6,9702,9702,151935,[]
RA-CANCEL-NONSTREAM,nram-scheduler-79beda5b588b400fbef846f0cc6018bc,fa85f1647f341be21a1c90a5547a2d039b41e04fb6035708a1cbe6e5dab9a9be,8,7,9702,9702,151935,[]
RA-CANCEL-NONSTREAM,nram-scheduler-79beda5b588b400fbef846f0cc6018bc,fa85f1647f341be21a1c90a5547a2d039b41e04fb6035708a1cbe6e5dab9a9be,9,8,9702,9702,151935,[]
RA-CANCEL-NONSTREAM,nram-scheduler-79beda5b588b400fbef846f0cc6018bc,fa85f1647f341be21a1c90a5547a2d039b41e04fb6035708a1cbe6e5dab9a9be,10,9,9702,9702,151935,[]
RA-CANCEL-NONSTREAM,nram-scheduler-79beda5b588b400fbef846f0cc6018bc,fa85f1647f341be21a1c90a5547a2d039b41e04fb6035708a1cbe6e5dab9a9be,11,10,9702,9702,151935,[]
